"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
#2018-04-01#,"日",,,,,,,,,,,,,,,,,,,,
#2018-04-02#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-04-03#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-04#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-04-05#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-04-06#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-07#,"土",,,,,,,,,,,,,,,,,,,,
#2018-04-08#,"日",,,,,,,,,,,,,,,,,,,,
#2018-04-09#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-04-10#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-11#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-04-12#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-04-13#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-14#,"土",,,,,,,,,,,,,,,,,,,,
#2018-04-15#,"日",,,,,,,,,,,,,,,,,,,,
#2018-04-16#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-04-17#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-18#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-04-19#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-04-20#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-21#,"土",,,,,,,,,,,,,,,,,,,,
#2018-04-22#,"日",,,,,,,,,,,,,,,,,,,,
#2018-04-23#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-04-24#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-25#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-04-26#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-04-27#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-04-28#,"土",,,,,,,,,,,,,,,,,,,,
#2018-04-29#,"日",,,,,,,,,,,,,,,,,,,,
#2018-04-30#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ",,,,,,,,,,
#2018-05-01#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-02#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-05-03#,"木",,,,,,,,,,"資源","不燃",,"資源",,"他プラ",,,,,
#2018-05-04#,"金","他プラ","不燃","資源","不燃",,"他プラ",,,,,,,,,,,,,,
#2018-05-05#,"土",,,,,,,,,,,,,,,,,,,,
#2018-05-06#,"日",,,,,,,,,,,,,,,,,,,,
#2018-05-07#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-05-08#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-09#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-05-10#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-05-11#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-12#,"土",,,,,,,,,,,,,,,,,,,,
#2018-05-13#,"日",,,,,,,,,,,,,,,,,,,,
#2018-05-14#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-05-15#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-16#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-05-17#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-05-18#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-19#,"土",,,,,,,,,,,,,,,,,,,,
#2018-05-20#,"日",,,,,,,,,,,,,,,,,,,,
#2018-05-21#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-05-22#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-23#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-05-24#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-05-25#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-26#,"土",,,,,,,,,,,,,,,,,,,,
#2018-05-27#,"日",,,,,,,,,,,,,,,,,,,,
#2018-05-28#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-05-29#,"火","リプラ",,,,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-05-30#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ",,,,,"リプラ","リプラ","リプラ","リプラ","リプラ",,,,,
#2018-05-31#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,"リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-01#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-02#,"土",,,,,,,,,,,,,,,,,,,,
#2018-06-03#,"日",,,,,,,,,,,,,,,,,,,,
#2018-06-04#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-06-05#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-06#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-06-07#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-08#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-09#,"土",,,,,,,,,,,,,,,,,,,,
#2018-06-10#,"日",,,,,,,,,,,,,,,,,,,,
#2018-06-11#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-06-12#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-13#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-06-14#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-15#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-16#,"土",,,,,,,,,,,,,,,,,,,,
#2018-06-17#,"日",,,,,,,,,,,,,,,,,,,,
#2018-06-18#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-06-19#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-20#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-06-21#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-22#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-23#,"土",,,,,,,,,,,,,,,,,,,,
#2018-06-24#,"日",,,,,,,,,,,,,,,,,,,,
#2018-06-25#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-06-26#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-27#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-06-28#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-06-29#,"金",,,,,,,"リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-06-30#,"土",,,,,,,,,,,,,,,,,,,,
#2018-07-01#,"日",,,,,,,,,,,,,,,,,,,,
#2018-07-02#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-07-03#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-04#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-07-05#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-07-06#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-07#,"土",,,,,,,,,,,,,,,,,,,,
#2018-07-08#,"日",,,,,,,,,,,,,,,,,,,,
#2018-07-09#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-07-10#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-11#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-07-12#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-07-13#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-14#,"土",,,,,,,,,,,,,,,,,,,,
#2018-07-15#,"日",,,,,,,,,,,,,,,,,,,,
#2018-07-16#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-07-17#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-18#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-07-19#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-07-20#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-21#,"土",,,,,,,,,,,,,,,,,,,,
#2018-07-22#,"日",,,,,,,,,,,,,,,,,,,,
#2018-07-23#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-07-24#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-25#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-07-26#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-07-27#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-07-28#,"土",,,,,,,,,,,,,,,,,,,,
#2018-07-29#,"日",,,,,,,,,,,,,,,,,,,,
