"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
#2018-11-28#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-11-29#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,"リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-11-30#,"金",,,,,,,"リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-01#,"土",,,,,,,,,,,,,,,,,,,,
#2018-12-02#,"日",,,,,,,,,,,,,,,,,,,,
#2018-12-03#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-12-04#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-05#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-12-06#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-12-07#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-08#,"土",,,,,,,,,,,,,,,,,,,,
#2018-12-09#,"日",,,,,,,,,,,,,,,,,,,,
#2018-12-10#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-12-11#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-12#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-12-13#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-12-14#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-15#,"土",,,,,,,,,,,,,,,,,,,,
#2018-12-16#,"日",,,,,,,,,,,,,,,,,,,,
#2018-12-17#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2018-12-18#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-19#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2018-12-20#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-12-21#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-22#,"土",,,,,,,,,,,,,,,,,,,,
#2018-12-23#,"日",,,,,,,,,,,,,,,,,,,,
#2018-12-24#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2018-12-25#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-26#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2018-12-27#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2018-12-28#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2018-12-29#,"土",,,,,,,,,,,,,,,,,,,,
#2018-12-30#,"日","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ",,,,,,,,,,
#2018-12-31#,"月",,,,,,,,,,,,,,,,,,,,
#2019-01-01#,"火",,,,,,,,,,,,,,,,,,,,
#2019-01-02#,"水",,,,,,,,,,,,,,,,,,,,
#2019-01-03#,"木",,,,,,,,,,,,,,,,,,,,
#2019-01-04#,"金","他プラ","不燃","資源","他プラ","他プラ","他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-05#,"土",,,,,,,,,,,,,,,,,,,,
#2019-01-06#,"日",,,,,,,,,,,,,,,,,,,,
#2019-01-07#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源","他プラ","他プラ","他プラ","資源","資源","他プラ","他プラ","他プラ"
#2019-01-08#,"火","リプラ","資源","不燃","資源","資源","不燃","不燃","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-09#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","資源","他プラ","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","資源","資源"
#2019-01-10#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","不燃","資源","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-01-11#,"金","資源","他プラ","他プラ","不燃","不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-12#,"土",,,,,,,,,,,,,,,,,,,,
#2019-01-13#,"日",,,,,,,,,,,,,,,,,,,,
#2019-01-14#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源","不燃","他プラ","他プラ","資源","不燃","不燃"
#2019-01-15#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃","他プラ","不燃","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-16#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","他プラ","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2019-01-17#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-01-18#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-19#,"土",,,,,,,,,,,,,,,,,,,,
#2019-01-20#,"日",,,,,,,,,,,,,,,,,,,,
#2019-01-21#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2019-01-22#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-23#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2019-01-24#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-01-25#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-26#,"土",,,,,,,,,,,,,,,,,,,,
#2019-01-27#,"日",,,,,,,,,,,,,,,,,,,,
#2019-01-28#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2019-01-29#,"火","リプラ",,,,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-01-30#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ",,,,,"リプラ","リプラ","リプラ","リプラ","リプラ",,,,,
#2019-01-31#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,"リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-02-01#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-02#,"土",,,,,,,,,,,,,,,,,,,,
#2019-02-03#,"日",,,,,,,,,,,,,,,,,,,,
#2019-02-04#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2019-02-05#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-06#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2019-02-07#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-02-08#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-09#,"土",,,,,,,,,,,,,,,,,,,,
#2019-02-10#,"日",,,,,,,,,,,,,,,,,,,,
#2019-02-11#,"月",,,,,,,,,,,"他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2019-02-12#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-13#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2019-02-14#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-02-15#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-16#,"土",,,,,,,,,,,,,,,,,,,,
#2019-02-17#,"日",,,,,,,,,,,,,,,,,,,,
#2019-02-18#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2019-02-19#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-20#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2019-02-21#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-02-22#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-23#,"土",,,,,,,,,,,,,,,,,,,,
#2019-02-24#,"日",,,,,,,,,,,,,,,,,,,,
#2019-02-25#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2019-02-26#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-02-27#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2019-02-28#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-03-01#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-02#,"土",,,,,,,,,,,,,,,,,,,,
#2019-03-03#,"日",,,,,,,,,,,,,,,,,,,,
#2019-03-04#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2019-03-05#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-06#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2019-03-07#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃",,"資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-03-08#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-09#,"土",,,,,,,,,,,,,,,,,,,,
#2019-03-10#,"日",,,,,,,,,,,,,,,,,,,,
#2019-03-11#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2019-03-12#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-13#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2019-03-14#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-03-15#,"金","他プラ","不燃","資源","不燃",,"他プラ","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-16#,"土",,,,,,,,,,,,,,,,,,,,
#2019-03-17#,"日",,,,,,,,,,,,,,,,,,,,
#2019-03-18#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","資源","資源",,"他プラ","不燃","資源","資源","他プラ",,"不燃"
#2019-03-19#,"火","リプラ","資源","不燃","他プラ","他プラ","不燃",,,"資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-20#,"水","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","資源","他プラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ","リプラ","不燃",,,"資源","他プラ"
#2019-03-21#,"木",,,,,,,,,,"資源","不燃",,"資源",,"他プラ",,,,,
#2019-03-22#,"金","資源",,"他プラ",,"不燃","資源","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-23#,"土",,,,,,,,,,,,,,,,,,,,
#2019-03-24#,"日",,,,,,,,,,,,,,,,,,,,
#2019-03-25#,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","他プラ","他プラ","不燃","資源",,"他プラ","他プラ","資源","不燃",
#2019-03-26#,"火","リプラ","他プラ",,"資源","資源",,"不燃","不燃","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-27#,"水",,"リプラ","リプラ","リプラ","リプラ","リプラ","他プラ","資源",,,"リプラ","リプラ","リプラ","リプラ","リプラ",,"不燃","不燃","他プラ","資源"
#2019-03-28#,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"不燃","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ","リプラ"
#2019-03-29#,"金",,,,,,,"リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
#2019-03-30#,"土",,,,,,,,,,,,,,,,,,,,
#2019-03-31#,"日",,,,,,,,,,,,,,,,,,,,
