"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
#2024-11-27#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-11-28#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-11-29#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,,,,"リプラ","リプラ",,,,"リプラ","リプラ","可燃","可燃","可燃"
#2024-11-30#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-01#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-02#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-12-03#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-12-04#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-12-05#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-12-06#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-12-07#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-08#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-09#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-12-10#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-12-11#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-12-12#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-12-13#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-12-14#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-15#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-16#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2024-12-17#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2024-12-18#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2024-12-19#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2024-12-20#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2024-12-21#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-22#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-23#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2024-12-24#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2024-12-25#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2024-12-26#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2024-12-27#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2024-12-28#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-29#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2024-12-30#,"月","可燃","可燃","可燃",,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,
#2024-12-31#,"火",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-01#,"水",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-02#,"木",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-03#,"金",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-04#,"土","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,,,,"リプラ","リプラ",,,,"リプラ","リプラ","可燃","可燃","可燃"
#2025-01-05#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-06#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-01-07#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-01-08#,"水","資源","不燃","他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,"不燃",,"リプラ","リプラ","不燃","他プラ","リプラ","リプラ","不燃"
#2025-01-09#,"木","可燃","可燃","可燃","資源","他プラ","不燃","不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","不燃","リプラ"
#2025-01-10#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-01-11#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-12#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-13#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-01-14#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-01-15#,"水","他プラ",,"資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃",,"不燃","リプラ","リプラ",,"資源","リプラ","リプラ",
#2025-01-16#,"木","可燃","可燃","可燃","他プラ","資源",,,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源",,"リプラ"
#2025-01-17#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-01-18#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-19#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-20#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-01-21#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-01-22#,"水","資源","不燃","他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,"不燃",,"リプラ","リプラ","不燃","他プラ","リプラ","リプラ","不燃"
#2025-01-23#,"木","可燃","可燃","可燃","資源","他プラ","不燃","不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","不燃","リプラ"
#2025-01-24#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-01-25#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-26#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-01-27#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-01-28#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-01-29#,"水","他プラ",,"資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃",,"不燃","リプラ","リプラ",,"資源","リプラ","リプラ",
#2025-01-30#,"木","可燃","可燃","可燃","他プラ","資源",,,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源",,"リプラ"
#2025-01-31#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-02-01#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-02#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-03#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-02-04#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-02-05#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2025-02-06#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2025-02-07#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-02-08#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-09#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-10#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-02-11#,"火","不燃","資源","不燃",,,,,,,"他プラ","他プラ",,,"他プラ","資源",,"不燃","資源","資源","不燃",,,
#2025-02-12#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2025-02-13#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2025-02-14#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-02-15#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-16#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-17#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-02-18#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-02-19#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2025-02-20#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2025-02-21#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-02-22#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-23#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-02-24#,"月",,,,,"不燃","他プラ","資源","他プラ","資源",,,,,,,,,,,,"不燃","資源","資源"
#2025-02-25#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-02-26#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2025-02-27#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2025-02-28#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-03-01#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-02#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-03#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-03-04#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-03-05#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2025-03-06#,"木","可燃","可燃","可燃","資源","他プラ","不燃",,"リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ",,"リプラ"
#2025-03-07#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-03-08#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-09#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-10#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-03-11#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-03-12#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2025-03-13#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2025-03-14#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-03-15#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-16#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-17#,"月","可燃","可燃","可燃","不燃",,"資源","他プラ","資源","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,"他プラ","他プラ"
#2025-03-18#,"火",,"他プラ",,"可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","不燃","不燃","資源","他プラ","リプラ",,"他プラ","他プラ",,"可燃","可燃","可燃"
#2025-03-19#,"水","資源",,"他プラ","リプラ","リプラ","リプラ","リプラ","不燃","不燃","リプラ","リプラ","リプラ","リプラ",,,,"リプラ","リプラ",,"他プラ","リプラ","リプラ",
#2025-03-20#,"木",,,,"資源","他プラ","不燃",,,,,,,,,,,,,,,"他プラ",,
#2025-03-21#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","不燃",,"資源","他プラ","リプラ","リプラ","他プラ","他プラ",,"リプラ","リプラ","可燃","可燃","可燃"
#2025-03-22#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-23#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-24#,"月","可燃","可燃","可燃",,"不燃","他プラ","資源","他プラ","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","不燃","資源","資源"
#2025-03-25#,"火","不燃","資源","不燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","他プラ",,,"他プラ","資源","リプラ","不燃","資源","資源","不燃","可燃","可燃","可燃"
#2025-03-26#,"水","他プラ","不燃","資源","リプラ","リプラ","リプラ","リプラ",,,"リプラ","リプラ","リプラ","リプラ","不燃","不燃","不燃","リプラ","リプラ","不燃","資源","リプラ","リプラ","不燃"
#2025-03-27#,"木","可燃","可燃","可燃","他プラ","資源",,"不燃","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","不燃","リプラ"
#2025-03-28#,"金","リプラ","リプラ","リプラ","可燃","可燃","可燃","可燃","可燃","可燃",,"不燃","他プラ","資源","リプラ","リプラ","資源","資源","不燃","リプラ","リプラ","可燃","可燃","可燃"
#2025-03-29#,"土",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-30#,"日",,,,,,,,,,,,,,,,,,,,,,,
#2025-03-31#,"月","可燃","可燃","可燃",,,,,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,
